AQ1,BQ1,CQ1,DQ1,EQ1,FQ1,GQ1,HQ1,IQ1,JQ1,KQ1,LQ1,MQ1,NQ1,OQ1,PQ1,AQ2,BQ2,CQ2,DQ2,EQ2,FQ2,GQ2,HQ2,IQ2,JQ2,KQ2,LQ2,MQ2,NQ2,OQ2,PQ2,AQ3,BQ3,CQ3,DQ3,EQ3,FQ3,GQ3,HQ3,IQ3,JQ3,KQ3,LQ3,MQ3,NQ3,OQ3,PQ3,AQ4,BQ4,CQ4,DQ4,EQ4,FQ4,GQ4,HQ4,IQ4,JQ4,KQ4,LQ4,MQ4,NQ4,OQ4,PQ4
50.71, 49.29, 10.15, 39.01, 0.74, 39.75, 35.57, 34.83, 12.05, 15.76, 50.37, 55.65, 44.35, 1.55, 16.66, 3.61, 51.47, 48.53, 10.98, 37.51, 10.25, 47.77, 38.66, 28.79, 19.23, 14.47, 46.42, 54.54, 45.46, 0.24, 16.12, 3.51, 51.85, 48.15, 10.43, 36.89, 2.36, 39.24, 35.44, 39.81, 12.8, 14.18, 52.16, 55.99, 44.01, 0.83, 16.45, 3.57, 51.35, 48.65, 10.49, 37.94, 3.6, 41.54, 36.34, 34.6, 12.8, 13.43, 53.95, 54.95, 45.05, 0.71, 15.64, 3.4
51.47, 48.53, 10.98, 37.51, 10.25, 47.77, 38.66, 28.79, 19.23, 14.47, 46.42, 54.54, 45.46, 0.24, 16.12, 3.51, 51.85, 48.15, 10.43, 36.89, 2.36, 39.24, 35.44, 39.81, 12.8, 14.18, 52.16, 55.99, 44.01, 0.83, 16.45, 3.57, 51.35, 48.65, 10.49, 37.94, 3.6, 41.54, 36.34, 34.6, 12.8, 13.43, 53.95, 54.95, 45.05, 0.71, 15.64, 3.4, 55.1, 44.9, 10.26, 34.63, 0.88, 35.51, 31.84, 28.65, 13.66, 12.14, 55.55, 52.94, 47.06, 0.31, 15.02, 3.26
51.85, 48.15, 10.43, 36.89, 2.36, 39.24, 35.44, 39.81, 12.8, 14.18, 52.16, 55.99, 44.01, 0.83, 16.45, 3.57, 51.35, 48.65, 10.49, 37.94, 3.6, 41.54, 36.34, 34.6, 12.8, 13.43, 53.95, 54.95, 45.05, 0.71, 15.64, 3.4, 55.1, 44.9, 10.26, 34.63, 0.88, 35.51, 31.84, 28.65, 13.66, 12.14, 55.55, 52.94, 47.06, 0.31, 15.02, 3.26, 48.45, 51.55, 10.37, 41.17, 0.94, 42.11, 32.7, 32.52, 22.1, 11.55, 48.55, 52.76, 47.24, 0.27, 14.37, 3.12
51.35, 48.65, 10.49, 37.94, 3.6, 41.54, 36.34, 34.6, 12.8, 13.43, 53.95, 54.95, 45.05, 0.71, 15.64, 3.4, 55.1, 44.9, 10.26, 34.63, 0.88, 35.51, 31.84, 28.65, 13.66, 12.14, 55.55, 52.94, 47.06, 0.31, 15.02, 3.26, 48.45, 51.55, 10.37, 41.17, 0.94, 42.11, 32.7, 32.52, 22.1, 11.55, 48.55, 52.76, 47.24, 0.27, 14.37, 3.12, 49.29, 50.71, 9.92, 40.81, 0.76, 41.57, 37.17, 33.29, 14.99, 10.31, 56.6, 58.71, 41.29, -0.3, 15.09, 3.27
55.1, 44.9, 10.26, 34.63, 0.88, 35.51, 31.84, 28.65, 13.66, 12.14, 55.55, 52.94, 47.06, 0.31, 15.02, 3.26, 48.45, 51.55, 10.37, 41.17, 0.94, 42.11, 32.7, 32.52, 22.1, 11.55, 48.55, 52.76, 47.24, 0.27, 14.37, 3.12, 49.29, 50.71, 9.92, 40.81, 0.76, 41.57, 37.17, 33.29, 14.99, 10.31, 56.6, 58.71, 41.29, -0.3, 15.09, 3.27, 49.91, 50.09, 10.22, 39.87, 0.84, 40.72, 35.27, 34.1, 16.87, 9.44, 56.83, 56.65, 43.35, 0.09, 13.75, 2.98
48.45, 51.55, 10.37, 41.17, 0.94, 42.11, 32.7, 32.52, 22.1, 11.55, 48.55, 52.76, 47.24, 0.27, 14.37, 3.12, 49.29, 50.71, 9.92, 40.81, 0.76, 41.57, 37.17, 33.29, 14.99, 10.31, 56.6, 58.71, 41.29, -0.3, 15.09, 3.27, 49.91, 50.09, 10.22, 39.87, 0.84, 40.72, 35.27, 34.1, 16.87, 9.44, 56.83, 56.65, 43.35, 0.09, 13.75, 2.98, 48.06, 51.94, 11.18, 40.76, 1.06, 41.82, 37.46, 28.33, 16.62, 8.1, 59.94, 57.32, 42.68, -1.02, 13.4, 2.91
49.29, 50.71, 9.92, 40.81, 0.76, 41.57, 37.17, 33.29, 14.99, 10.31, 56.6, 58.71, 41.29, -0.3, 15.09, 3.27, 49.91, 50.09, 10.22, 39.87, 0.84, 40.72, 35.27, 34.1, 16.87, 9.44, 56.83, 56.65, 43.35, 0.09, 13.75, 2.98, 48.06, 51.94, 11.18, 40.76, 1.06, 41.82, 37.46, 28.33, 16.62, 8.1, 59.94, 57.32, 42.68, -1.02, 13.4, 2.91, 49.15, 50.85, 11.86, 38.93, 1.34, 40.27, 30.99, 31.65, 26.35, 6.07, 52.58, 57.81, 42.19, -0.92, 13.05, 2.83
49.91, 50.09, 10.22, 39.87, 0.84, 40.72, 35.27, 34.1, 16.87, 9.44, 56.83, 56.65, 43.35, 0.09, 13.75, 2.98, 48.06, 51.94, 11.18, 40.76, 1.06, 41.82, 37.46, 28.33, 16.62, 8.1, 59.94, 57.32, 42.68, -1.02, 13.4, 2.91, 49.15, 50.85, 11.86, 38.93, 1.34, 40.27, 30.99, 31.65, 26.35, 6.07, 52.58, 57.81, 42.19, -0.92, 13.05, 2.83, 50.07, 49.93, 10.92, 38.89, 0.98, 39.87, 35.68, 35.32, 16.21, 6.05, 61.6, 61.72, 38.28, -1.04, 14.08, 3.06
48.06, 51.94, 11.18, 40.76, 1.06, 41.82, 37.46, 28.33, 16.62, 8.1, 59.94, 57.32, 42.68, -1.02, 13.4, 2.91, 49.15, 50.85, 11.86, 38.93, 1.34, 40.27, 30.99, 31.65, 26.35, 6.07, 52.58, 57.81, 42.19, -0.92, 13.05, 2.83, 50.07, 49.93, 10.92, 38.89, 0.98, 39.87, 35.68, 35.32, 16.21, 6.05, 61.6, 61.72, 38.28, -1.04, 14.08, 3.06, 49.38, 50.62, 11.04, 39.45, 1.08, 40.53, 35.11, 32.16, 18.01, 5.54, 61.92, 56.96, 43.04, -1.35, 13.02, 2.83
49.15, 50.85, 11.86, 38.93, 1.34, 40.27, 30.99, 31.65, 26.35, 6.07, 52.58, 57.81, 42.19, -0.92, 13.05, 2.83, 50.07, 49.93, 10.92, 38.89, 0.98, 39.87, 35.68, 35.32, 16.21, 6.05, 61.6, 61.72, 38.28, -1.04, 14.08, 3.06, 49.38, 50.62, 11.04, 39.45, 1.08, 40.53, 35.11, 32.16, 18.01, 5.54, 61.92, 56.96, 43.04, -1.35, 13.02, 2.83, 49.62, 50.38, 10.77, 39.03, 1.26, 40.29, 36.19, 33.3, 16.7, 4.9, 64.65, 54.66, 45.34, -1.68, 12.65, 2.75
57.91, 42.09, 29.21, 12.88, 3.48, 16.36, 15.58, 29.16, 16.05, 0.88, 41.54, 43.65, 56.35, -0.88, 6.14, 36.28, 56.77, 43.23, 25.54, 17.69, 3.77, 21.47, 20.18, 24, 23.95, 0.9, 40.99, 40.55, 59.45, -0.28, 5.69, 28.76, 56.06, 43.94, 23.78, 20.17, 3, 23.16, 21.58, 16.94, 21.4, 0.89, 44.38, 39.84, 60.16, -1.04, 5.67, 28.71, 56.04, 43.96, 25.4, 18.55, 3.16, 21.72, 20.2, 23.33, 23.73, 0.73, 44.19, 37.46, 62.54, -0.35, 5.22, 26.48
56.77, 43.23, 25.54, 17.69, 3.77, 21.47, 20.18, 24, 23.95, 0.9, 40.99, 40.55, 59.45, -0.28, 5.69, 28.76, 56.06, 43.94, 23.78, 20.17, 3, 23.16, 21.58, 16.94, 21.4, 0.89, 44.38, 39.84, 60.16, -1.04, 5.67, 28.71, 56.04, 43.96, 25.4, 18.55, 3.16, 21.72, 20.2, 23.33, 23.73, 0.73, 44.19, 37.46, 62.54, -0.35, 5.22, 26.48, 51.69, 48.31, 24.81, 23.5, 1.5, 25, 22.04, 24.47, 22.95, 0.54, 41.68, 29.36, 70.64, 0.06, 5.26, 29.49
56.06, 43.94, 23.78, 20.17, 3, 23.16, 21.58, 16.94, 21.4, 0.89, 44.38, 39.84, 60.16, -1.04, 5.67, 28.71, 56.04, 43.96, 25.4, 18.55, 3.16, 21.72, 20.2, 23.33, 23.73, 0.73, 44.19, 37.46, 62.54, -0.35, 5.22, 26.48, 51.69, 48.31, 24.81, 23.5, 1.5, 25, 22.04, 24.47, 22.95, 0.54, 41.68, 29.36, 70.64, 0.06, 5.26, 29.49, 50.45, 49.55, 25.98, 23.57, 2.57, 26.15, 23.18, 17.45, 33.27, 0.55, 35.03, 27.01, 72.99, -0.9, 4.85, 27.2
56.04, 43.96, 25.4, 18.55, 3.16, 21.72, 20.2, 23.33, 23.73, 0.73, 44.19, 37.46, 62.54, -0.35, 5.22, 26.48, 51.69, 48.31, 24.81, 23.5, 1.5, 25, 22.04, 24.47, 22.95, 0.54, 41.68, 29.36, 70.64, 0.06, 5.26, 29.49, 50.45, 49.55, 25.98, 23.57, 2.57, 26.15, 23.18, 17.45, 33.27, 0.55, 35.03, 27.01, 72.99, -0.9, 4.85, 27.2, 50.87, 49.13, 25.13, 24, 1.95, 25.95, 23.14, 29.17, 30.55, 0.51, 37.82, 27.32, 72.68, 0.17, 4.69, 26.23
51.69, 48.31, 24.81, 23.5, 1.5, 25, 22.04, 24.47, 22.95, 0.54, 41.68, 29.36, 70.64, 0.06, 5.26, 29.49, 50.45, 49.55, 25.98, 23.57, 2.57, 26.15, 23.18, 17.45, 33.27, 0.55, 35.03, 27.01, 72.99, -0.9, 4.85, 27.2, 50.87, 49.13, 25.13, 24, 1.95, 25.95, 23.14, 29.17, 30.55, 0.51, 37.82, 27.32, 72.68, 0.17, 4.69, 26.23, 51.25, 48.75, 26.58, 22.17, 2.4, 24.57, 21.78, 25.19, 28.94, 0.54, 38.98, 29.21, 70.79, 1.88, 4.48, 25.08
50.45, 49.55, 25.98, 23.57, 2.57, 26.15, 23.18, 17.45, 33.27, 0.55, 35.03, 27.01, 72.99, -0.9, 4.85, 27.2, 50.87, 49.13, 25.13, 24, 1.95, 25.95, 23.14, 29.17, 30.55, 0.51, 37.82, 27.32, 72.68, 0.17, 4.69, 26.23, 51.25, 48.75, 26.58, 22.17, 2.4, 24.57, 21.78, 25.19, 28.94, 0.54, 38.98, 29.21, 70.79, 1.88, 4.48, 25.08, 52.67, 47.33, 31.19, 16.14, 0.99, 17.13, 15.25, 12.43, 29.73, 0.56, 39.6, 30.53, 69.47, 1.45, 4.32, 24.22
50.87, 49.13, 25.13, 24, 1.95, 25.95, 23.14, 29.17, 30.55, 0.51, 37.82, 27.32, 72.68, 0.17, 4.69, 26.23, 51.25, 48.75, 26.58, 22.17, 2.4, 24.57, 21.78, 25.19, 28.94, 0.54, 38.98, 29.21, 70.79, 1.88, 4.48, 25.08, 52.67, 47.33, 31.19, 16.14, 0.99, 17.13, 15.25, 12.43, 29.73, 0.56, 39.6, 30.53, 69.47, 1.45, 4.32, 24.22, 54.09, 45.91, 31.31, 14.6, 1.15, 15.75, 13.56, 12.75, 38.69, 0.6, 31.2, 31.03, 68.97, 1.31, 4.23, 23.75
51.25, 48.75, 26.58, 22.17, 2.4, 24.57, 21.78, 25.19, 28.94, 0.54, 38.98, 29.21, 70.79, 1.88, 4.48, 25.08, 52.67, 47.33, 31.19, 16.14, 0.99, 17.13, 15.25, 12.43, 29.73, 0.56, 39.6, 30.53, 69.47, 1.45, 4.32, 24.22, 54.09, 45.91, 31.31, 14.6, 1.15, 15.75, 13.56, 12.75, 38.69, 0.6, 31.2, 31.03, 68.97, 1.31, 4.23, 23.75, 57.33, 42.67, 29.29, 13.38, 2.55, 15.93, 13.97, 20, 30.92, 0.84, 35.64, 34.83, 65.17, 2.4, 4.52, 25.44
52.67, 47.33, 31.19, 16.14, 0.99, 17.13, 15.25, 12.43, 29.73, 0.56, 39.6, 30.53, 69.47, 1.45, 4.32, 24.22, 54.09, 45.91, 31.31, 14.6, 1.15, 15.75, 13.56, 12.75, 38.69, 0.6, 31.2, 31.03, 68.97, 1.31, 4.23, 23.75, 57.33, 42.67, 29.29, 13.38, 2.55, 15.93, 13.97, 20, 30.92, 0.84, 35.64, 34.83, 65.17, 2.4, 4.52, 25.44, 56.77, 43.23, 31.08, 12.15, 1.62, 13.77, 12.08, 12.83, 28.83, 0.82, 36.59, 38.83, 61.17, 2.25, 4.47, 25.15
54.09, 45.91, 31.31, 14.6, 1.15, 15.75, 13.56, 12.75, 38.69, 0.6, 31.2, 31.03, 68.97, 1.31, 4.23, 23.75, 57.33, 42.67, 29.29, 13.38, 2.55, 15.93, 13.97, 20, 30.92, 0.84, 35.64, 34.83, 65.17, 2.4, 4.52, 25.44, 56.77, 43.23, 31.08, 12.15, 1.62, 13.77, 12.08, 12.83, 28.83, 0.82, 36.59, 38.83, 61.17, 2.25, 4.47, 25.15, 61.89, 38.11, 30.24, 7.88, 1.57, 9.44, 8, 4.83, 29.14, 0.88, 37.22, 37.65, 62.35, 1.72, 4.4, 24.74
57.33, 42.67, 29.29, 13.38, 2.55, 15.93, 13.97, 20, 30.92, 0.84, 35.64, 34.83, 65.17, 2.4, 4.52, 25.44, 56.77, 43.23, 31.08, 12.15, 1.62, 13.77, 12.08, 12.83, 28.83, 0.82, 36.59, 38.83, 61.17, 2.25, 4.47, 25.15, 61.89, 38.11, 30.24, 7.88, 1.57, 9.44, 8, 4.83, 29.14, 0.88, 37.22, 37.65, 62.35, 1.72, 4.4, 24.74, 64.77, 35.23, 25.49, 9.75, 0.94, 10.69, 9.09, 7.18, 39.6, 0.99, 30.33, 36.64, 63.36, 1.27, 4.18, 23.43
56.77, 43.23, 31.08, 12.15, 1.62, 13.77, 12.08, 12.83, 28.83, 0.82, 36.59, 38.83, 61.17, 2.25, 4.47, 25.15, 61.89, 38.11, 30.24, 7.88, 1.57, 9.44, 8, 4.83, 29.14, 0.88, 37.22, 37.65, 62.35, 1.72, 4.4, 24.74, 64.77, 35.23, 25.49, 9.75, 0.94, 10.69, 9.09, 7.18, 39.6, 0.99, 30.33, 36.64, 63.36, 1.27, 4.18, 23.43, 64.78, 35.22, 25.5, 9.72, 1.27, 10.99, 9.99, 6.86, 36.44, 1.06, 33.12, 37.77, 62.23, -0.01, 4.3, 24.62
61.89, 38.11, 30.24, 7.88, 1.57, 9.44, 8, 4.83, 29.14, 0.88, 37.22, 37.65, 62.35, 1.72, 4.4, 24.74, 64.77, 35.23, 25.49, 9.75, 0.94, 10.69, 9.09, 7.18, 39.6, 0.99, 30.33, 36.64, 63.36, 1.27, 4.18, 23.43, 64.78, 35.22, 25.5, 9.72, 1.27, 10.99, 9.99, 6.86, 36.44, 1.06, 33.12, 37.77, 62.23, -0.01, 4.3, 24.62, 64.36, 35.64, 27.26, 8.38, 1.5, 9.88, 8.72, 10.79, 32.19, 1.27, 34.25, 40.58, 59.42, 3.3, 4.27, 24.23
64.77, 35.23, 25.49, 9.75, 0.94, 10.69, 9.09, 7.18, 39.6, 0.99, 30.33, 36.64, 63.36, 1.27, 4.18, 23.43, 64.78, 35.22, 25.5, 9.72, 1.27, 10.99, 9.99, 6.86, 36.44, 1.06, 33.12, 37.77, 62.23, -0.01, 4.3, 24.62, 64.36, 35.64, 27.26, 8.38, 1.5, 9.88, 8.72, 10.79, 32.19, 1.27, 34.25, 40.58, 59.42, 3.3, 4.27, 24.23, 66.5, 33.5, 31.34, 2.16, 11.21, 13.38, 11.84, 10.58, 33.16, 1.61, 34.19, 40.77, 59.23, 3.02, 4.05, 23.26
64.78, 35.22, 25.5, 9.72, 1.27, 10.99, 9.99, 6.86, 36.44, 1.06, 33.12, 37.77, 62.23, -0.01, 4.3, 24.62, 64.36, 35.64, 27.26, 8.38, 1.5, 9.88, 8.72, 10.79, 32.19, 1.27, 34.25, 40.58, 59.42, 3.3, 4.27, 24.23, 66.5, 33.5, 31.34, 2.16, 11.21, 13.38, 11.84, 10.58, 33.16, 1.61, 34.19, 40.77, 59.23, 3.02, 4.05, 23.26, 65, 35, 30.94, 4.06, 1.76, 5.82, 3.81, 17.08, 36.14, 1.66, 30.59, 40.94, 59.06, 4.88, 3.92, 21.95
64.36, 35.64, 27.26, 8.38, 1.5, 9.88, 8.72, 10.79, 32.19, 1.27, 34.25, 40.58, 59.42, 3.3, 4.27, 24.23, 66.5, 33.5, 31.34, 2.16, 11.21, 13.38, 11.84, 10.58, 33.16, 1.61, 34.19, 40.77, 59.23, 3.02, 4.05, 23.26, 65, 35, 30.94, 4.06, 1.76, 5.82, 3.81, 17.08, 36.14, 1.66, 30.59, 40.94, 59.06, 4.88, 3.92, 21.95, 63.58, 36.42, 28.63, 7.79, 1.04, 8.83, 7.95, 15.66, 32.5, 1.79, 32.47, 43.03, 56.97, 6.29, 4.03, 22.56
66.5, 33.5, 31.34, 2.16, 11.21, 13.38, 11.84, 10.58, 33.16, 1.61, 34.19, 40.77, 59.23, 3.02, 4.05, 23.26, 65, 35, 30.94, 4.06, 1.76, 5.82, 3.81, 17.08, 36.14, 1.66, 30.59, 40.94, 59.06, 4.88, 3.92, 21.95, 63.58, 36.42, 28.63, 7.79, 1.04, 8.83, 7.95, 15.66, 32.5, 1.79, 32.47, 43.03, 56.97, 6.29, 4.03, 22.56, 64.37, 35.63, 31.51, 4.12, 7.31, 11.43, 10.1, 12.31, 32.23, 1.61, 34.86, 39.55, 60.45, 4.61, 4.01, 22.34
65, 35, 30.94, 4.06, 1.76, 5.82, 3.81, 17.08, 36.14, 1.66, 30.59, 40.94, 59.06, 4.88, 3.92, 21.95, 63.58, 36.42, 28.63, 7.79, 1.04, 8.83, 7.95, 15.66, 32.5, 1.79, 32.47, 43.03, 56.97, 6.29, 4.03, 22.56, 64.37, 35.63, 31.51, 4.12, 7.31, 11.43, 10.1, 12.31, 32.23, 1.61, 34.86, 39.55, 60.45, 4.61, 4.01, 22.34, 61.56, 38.44, 34.55, 3.89, 2.38, 6.27, 5.36, 7.3, 32.3, 1.41, 34.52, 41.87, 58.13, 6.27, 3.83, 21.34
91.02, 8.98, 11.54, -2.57, -0.01, -2.57, -2.57, -1.26, 42.96, 7.3, 4.46, 43.91, 56.09, 0.86, 18.4, 25.8, 88.76, 11.24, 11.23, 0.01, 1.21, 1.22, 0.95, -1.45, 41.67, 7.52, 4.56, 44.02, 55.98, 0.13, 19.11, 26.8, 88.03, 11.97, 11.03, 0.94, 0.41, 1.35, 1.34, 4.06, 43.5, 6.92, 4.76, 41.08, 58.92, 0.98, 18.16, 25.47, 88.76, 11.24, 11.16, 0.08, 0.44, 0.52, 0.36, 1.77, 43.4, 7.16, 5, 37.18, 62.82, 2.16, 17.52, 24.56
88.76, 11.24, 11.23, 0.01, 1.21, 1.22, 0.95, -1.45, 41.67, 7.52, 4.56, 44.02, 55.98, 0.13, 19.11, 26.8, 88.03, 11.97, 11.03, 0.94, 0.41, 1.35, 1.34, 4.06, 43.5, 6.92, 4.76, 41.08, 58.92, 0.98, 18.16, 25.47, 88.76, 11.24, 11.16, 0.08, 0.44, 0.52, 0.36, 1.77, 43.4, 7.16, 5, 37.18, 62.82, 2.16, 17.52, 24.56, 87.86, 12.14, 11.28, 0.86, -0.02, 0.84, 0.67, -0.96, 43.23, 6.87, 5.38, 36.81, 63.19, 1.6, 17.78, 24.93
88.03, 11.97, 11.03, 0.94, 0.41, 1.35, 1.34, 4.06, 43.5, 6.92, 4.76, 41.08, 58.92, 0.98, 18.16, 25.47, 88.76, 11.24, 11.16, 0.08, 0.44, 0.52, 0.36, 1.77, 43.4, 7.16, 5, 37.18, 62.82, 2.16, 17.52, 24.56, 87.86, 12.14, 11.28, 0.86, -0.02, 0.84, 0.67, -0.96, 43.23, 6.87, 5.38, 36.81, 63.19, 1.6, 17.78, 24.93, 87.96, 12.04, 11.55, 0.49, 0.09, 0.58, 0.47, -2, 41.42, 7.94, 5.16, 37.35, 62.65, 0.97, 18.44, 25.86
88.76, 11.24, 11.16, 0.08, 0.44, 0.52, 0.36, 1.77, 43.4, 7.16, 5, 37.18, 62.82, 2.16, 17.52, 24.56, 87.86, 12.14, 11.28, 0.86, -0.02, 0.84, 0.67, -0.96, 43.23, 6.87, 5.38, 36.81, 63.19, 1.6, 17.78, 24.93, 87.96, 12.04, 11.55, 0.49, 0.09, 0.58, 0.47, -2, 41.42, 7.94, 5.16, 37.35, 62.65, 0.97, 18.44, 25.86, 91.23, 8.77, 14.74, 9, 4.55, 13.55, 10.37, 16.93, 39.81, 7.53, 7.88, 36.87, 63.13, 2.73, 18.1, 25.38
87.86, 12.14, 11.28, 0.86, -0.02, 0.84, 0.67, -0.96, 43.23, 6.87, 5.38, 36.81, 63.19, 1.6, 17.78, 24.93, 87.96, 12.04, 11.55, 0.49, 0.09, 0.58, 0.47, -2, 41.42, 7.94, 5.16, 37.35, 62.65, 0.97, 18.44, 25.86, 91.23, 8.77, 14.74, 9, 4.55, 13.55, 10.37, 16.93, 39.81, 7.53, 7.88, 36.87, 63.13, 2.73, 18.1, 25.38, 88.41, 11.59, 12.36, 2.88, 1.25, 4.13, 3.19, 3.31, 39.16, 7.53, 8.43, 36.66, 63.34, 2.29, 17.22, 25.15
87.96, 12.04, 11.55, 0.49, 0.09, 0.58, 0.47, -2, 41.42, 7.94, 5.16, 37.35, 62.65, 0.97, 18.44, 25.86, 91.23, 8.77, 14.74, 9, 4.55, 13.55, 10.37, 16.93, 39.81, 7.53, 7.88, 36.87, 63.13, 2.73, 18.1, 25.38, 88.41, 11.59, 12.36, 2.88, 1.25, 4.13, 3.19, 3.31, 39.16, 7.53, 8.43, 36.66, 63.34, 2.29, 17.22, 25.15, 85.96, 14.04, 13.01, 1.03, 0.39, 1.42, 1.14, -2.05, 34.36, 7.4, 9.59, 39.74, 60.26, 1.69, 18.99, 27.73
91.23, 8.77, 14.74, 9, 4.55, 13.55, 10.37, 16.93, 39.81, 7.53, 7.88, 36.87, 63.13, 2.73, 18.1, 25.38, 88.41, 11.59, 12.36, 2.88, 1.25, 4.13, 3.19, 3.31, 39.16, 7.53, 8.43, 36.66, 63.34, 2.29, 17.22, 25.15, 85.96, 14.04, 13.01, 1.03, 0.39, 1.42, 1.14, -2.05, 34.36, 7.4, 9.59, 39.74, 60.26, 1.69, 18.99, 27.73, 85.84, 14.16, 12.47, 1.68, 0.32, 2.01, 1.61, 0.19, 38.95, 7.7, 6.14, 36.26, 63.74, 1.24, 18.59, 27.16
88.41, 11.59, 12.36, 2.88, 1.25, 4.13, 3.19, 3.31, 39.16, 7.53, 8.43, 36.66, 63.34, 2.29, 17.22, 25.15, 85.96, 14.04, 13.01, 1.03, 0.39, 1.42, 1.14, -2.05, 34.36, 7.4, 9.59, 39.74, 60.26, 1.69, 18.99, 27.73, 85.84, 14.16, 12.47, 1.68, 0.32, 2.01, 1.61, 0.19, 38.95, 7.7, 6.14, 36.26, 63.74, 1.24, 18.59, 27.16, 84.57, 15.43, 11.99, 3.44, 0.9, 4.34, 3.47, -1.14, 41.37, 7.58, 6.99, 33.85, 66.15, -0.24, 17.92, 26.17
85.96, 14.04, 13.01, 1.03, 0.39, 1.42, 1.14, -2.05, 34.36, 7.4, 9.59, 39.74, 60.26, 1.69, 18.99, 27.73, 85.84, 14.16, 12.47, 1.68, 0.32, 2.01, 1.61, 0.19, 38.95, 7.7, 6.14, 36.26, 63.74, 1.24, 18.59, 27.16, 84.57, 15.43, 11.99, 3.44, 0.9, 4.34, 3.47, -1.14, 41.37, 7.58, 6.99, 33.85, 66.15, -0.24, 17.92, 26.17, 85.05, 14.95, 12.35, 2.6, 0.55, 3.15, 2.53, 0.43, 43.42, 7.42, 7.84, 33.05, 66.95, 0.02, 17.53, 25.61
85.84, 14.16, 12.47, 1.68, 0.32, 2.01, 1.61, 0.19, 38.95, 7.7, 6.14, 36.26, 63.74, 1.24, 18.59, 27.16, 84.57, 15.43, 11.99, 3.44, 0.9, 4.34, 3.47, -1.14, 41.37, 7.58, 6.99, 33.85, 66.15, -0.24, 17.92, 26.17, 85.05, 14.95, 12.35, 2.6, 0.55, 3.15, 2.53, 0.43, 43.42, 7.42, 7.84, 33.05, 66.95, 0.02, 17.53, 25.61, 84.45, 15.55, 13.02, 2.54, 0.27, 2.81, 2.25, -7.98, 40.38, 6.11, 9.45, 35.95, 64.05, -2.56, 18.67, 27.76
84.57, 15.43, 11.99, 3.44, 0.9, 4.34, 3.47, -1.14, 41.37, 7.58, 6.99, 33.85, 66.15, -0.24, 17.92, 26.17, 85.05, 14.95, 12.35, 2.6, 0.55, 3.15, 2.53, 0.43, 43.42, 7.42, 7.84, 33.05, 66.95, 0.02, 17.53, 25.61, 84.45, 15.55, 13.02, 2.54, 0.27, 2.81, 2.25, -7.98, 40.38, 6.11, 9.45, 35.95, 64.05, -2.56, 18.67, 27.76, 84.09, 15.91, 12.35, 3.56, 0.4, 3.96, 3.17, 4.96, 45.09, 5.75, 7.27, 34.62, 65.38, -1.93, 17.89, 25.73
85.05, 14.95, 12.35, 2.6, 0.55, 3.15, 2.53, 0.43, 43.42, 7.42, 7.84, 33.05, 66.95, 0.02, 17.53, 25.61, 84.45, 15.55, 13.02, 2.54, 0.27, 2.81, 2.25, -7.98, 40.38, 6.11, 9.45, 35.95, 64.05, -2.56, 18.67, 27.76, 84.09, 15.91, 12.35, 3.56, 0.4, 3.96, 3.17, 4.96, 45.09, 5.75, 7.27, 34.62, 65.38, -1.93, 17.89, 25.73, 83.43, 16.57, 12.1, 4.47, 0.35, 4.83, 3.87, 4.62, 43.77, 7.56, 8.11, 33.56, 66.44, -1.65, 17.24, 24.78
84.45, 15.55, 13.02, 2.54, 0.27, 2.81, 2.25, -7.98, 40.38, 6.11, 9.45, 35.95, 64.05, -2.56, 18.67, 27.76, 84.09, 15.91, 12.35, 3.56, 0.4, 3.96, 3.17, 4.96, 45.09, 5.75, 7.27, 34.62, 65.38, -1.93, 17.89, 25.73, 83.43, 16.57, 12.1, 4.47, 0.35, 4.83, 3.87, 4.62, 43.77, 7.56, 8.11, 33.56, 66.44, -1.65, 17.24, 24.78, 83.96, 16.04, 12.45, 3.59, 0.53, 4.12, 3.3, 1.42, 43.49, 4.26, 9.71, 34.66, 65.34, -2.14, 18.24, 26.23
84.09, 15.91, 12.35, 3.56, 0.4, 3.96, 3.17, 4.96, 45.09, 5.75, 7.27, 34.62, 65.38, -1.93, 17.89, 25.73, 83.43, 16.57, 12.1, 4.47, 0.35, 4.83, 3.87, 4.62, 43.77, 7.56, 8.11, 33.56, 66.44, -1.65, 17.24, 24.78, 83.96, 16.04, 12.45, 3.59, 0.53, 4.12, 3.3, 1.42, 43.49, 4.26, 9.71, 34.66, 65.34, -2.14, 18.24, 26.23, 84.33, 15.67, 12.83, 2.84, 1.62, 4.45, 3.53, 1.53, 41.58, 3.59, 11.07, 35.67, 64.33, -2.78, 19, 27.33
